"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0609200,Ц,К,1-жилфонд,2024,не позднее 28.12.2024,"с 15 января
по 5 февраля
",01012024,060920001012024,07.02.2025,15.01.2025,05.03.2025,15.01.2025,04.02.2025,06.02.2025,"Макеева Светлана Владимировна, т. 800, к. 425","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0609204,Ц,К,1-ПУ (ЖКХ),2024,не позднее 28.12.2024,"с 20 января
по 1 марта",01012024,060920401012024,04.03.2025,14.01.2025,27.03.2025,14.01.2025,26.02.2025,28.02.2025,"Ничепорук Людмила Борисовна, т. 806, к. 437",,
0609207,Ц,К,4-жилфонд,2024,не позднее 28.12.2024,"с 1-го рабочего дня января по 15 февраля
",01012024,060920701012024,17.02.2025,09.01.2025,17.03.2025,09.01.2025,12.02.2025,14.02.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0609210,Ц,К,1-КХ,2024,не позднее 25.12.2024,с 1-го рабочего дня января по 15 января,01012024,060921001012024,17.01.2025,09.01.2025,05.02.2025,09.01.2025,14.01.2025,16.01.2025,"Звонкова Елена Павловна, т. 824, к. 203",,
0609214,Ц,К,1-РПЖ,2024,не позднее 28.12.2024,с 14 января по 24 февраля,01012024,060921401012024,24.02.2025,14.01.2025,26.03.2025,14.01.2025,19.02.2025,21.02.2025,"Алясик Валентина Юрьевна, т. 807, к. 435",,
0609224,Ц,К,4-соцнайм,январь 2025,не позднее 30.01.2025,,12012025,060922412012025,04.02.2025,29.01.2025,04.02.2025,29.01.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,февраль 2025,не позднее 28.02.2025,,12022025,060922412022025,04.03.2025,26.02.2025,04.03.2025,2/27/2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,март 2025,не позднее 28.03.2025,,12032025,060922412032025,02.04.2025,26.03.2025,02.04.2025,26.03.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,апрель 2025,не позднее 25.04.2025,,12042025,060922412042025,06.05.2025,28.04.2025,06.05.2025,28.04.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,май 2025,не позднее 30.05.2025,,12052025,060922412052025,03.06.2025,28.05.2025,03.06.2025,28.05.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,июнь 2025,не позднее 27.06.2025,,12062025,060922412062025,02.07.2025,27.06.2025,02.07.2025,27.06.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,июль 2025,не позднее 30.07.2025,,12072025,060922412072025,04.08.2025,28.07.2025,04.08.2025,28.07.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,август 2025,не позднее 29.08.2025,,12082025,060922412082025,02.09.2025,28.08.2025,02.09.2025,28.08.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,сентябрь 2025,не позднее 26.09.2025,,12092025,060922412092025,02.10.2025,26.09.2025,02.10.2025,26.09.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,октябрь 2025,не позднее 30.10.2025,,12102025,060922412102025,05.11.2025,29.10.2025,06.11.2025,29.10.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,ноябрь 2025,не позднее 28.11.2025,,12112025,060922412112025,02.12.2025,27.11.2025,02.12.2025,27.11.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609224,Ц,К,4-соцнайм,декабрь 2025,не позднее 26.12.2025,,12122025,060922412122025,09.01.2026,26.12.2025,09.01.2026,26.12.2025,-,-,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0609226,Ц,К,22-ЖКХ (жилище),1 квартал 2025,не позднее 28.03.2025,,04012025,060922604012025,30.04.2025,01.04.2025,29.05.2025,01.04.2025,28.04.2025,29.04.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609226,Ц,К,22-ЖКХ (жилище),2 квартал 2025,не позднее 27.06.2025,,04022025,060922604022025,30.07.2025,01.07.2025,22.08.2025,01.07.2025,23.07.2025,25.07.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609226,Ц,К,22-ЖКХ (жилище),3 квартал 2025,не позднее 26.09.2025,,04032025,060922604032025,30.10.2025,01.10.2025,25.11.2025,01.10.2025,27.10.2025,29.10.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609226,Ц,К,22-ЖКХ (жилище),4 квартал 2025,не позднее 30.12.2025,,04042025,060922604042025,30.01.2026,01.01.2026,18.03.2026,01.01.2026,27.01.2026,29.01.2026,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609227,Ц,К,22-ЖКХ (ресурсы),1 квартал 2025,не позднее 28.03.2025,,04012025,060922704012025,30.04.2025,01.04.2025,27.05.2025,01.04.2025,28.04.2025,29.04.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609227,Ц,К,22-ЖКХ (ресурсы),2 квартал 2025,не позднее 27.06.2025,,04022025,060922704022025,30.07.2025,01.07.2025,20.08.2025,01.07.2025,23.07.2025,25.07.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609227,Ц,К,22-ЖКХ (ресурсы),3 квартал 2025,не позднее 26.09.2025,,04032025,060922704032025,30.10.2025,01.10.2025,21.11.2025,01.10.2025,27.10.2025,29.10.2025,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609227,Ц,К,22-ЖКХ (ресурсы),4 квартал 2025,не позднее 30.12.2025,,04042025,060922704042025,30.01.2026,01.01.2026,16.03.2026,01.01.2026,27.01.2026,29.01.2026,"Алясик Валентина Юрьевна, т. 807, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609231,Ц,К,1-водопровод,2024,не позднее 25.12.2024,с 1-го рабочего дня января по 22 января,01012024,060923101012024,22.01.2025,09.01.2025,21.03.2025,09.01.2025,15.01.2025,17.01.2025,"Галиева Елена Викторовна, т. 823, к. 203","Трушаева Наталья Ивановна, т. 320, к. 307",по наличию явления; 2 рассылки
0609235,Ц,К,1-канализация,2024,не позднее 25.12.2024,с 1-го рабочего дня января по 22 января,01012024,060923501012024,22.01.2025,09.01.2025,14.03.2025,09.01.2025,15.01.2025,17.01.2025,"Налимова Наталья Александровна, т. 805, к. 437","Трушаева Наталья Ивановна, т. 320, к. 307",по наличию  явления; 2 рассылки
0609245,Ц,К,1-ТЕП,2024,не позднее 28.12.2024,"с 1-го рабочего дня января по 25 января
после отчетного периода",01012024,060924501012024,25.01.2025,09.01.2025,20.03.2025,09.01.2025,22.01.2025,24.01.2025,"Гайфуллина Лариса Радиковна, т. 826, к. 435",,
0609253,Ц,К,22-ЖКХ (субсидии),1 квартал 2025,не позднее 28.03.2025,,04012025,060925304012025,16.04.2025,01.04.2025,30.04.2025,01.04.2025,4/14/2025,15.04.2025,"Налимова Наталья Александровна, т. 805, к. 437","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0609253,Ц,К,22-ЖКХ (субсидии),2 квартал 2025,не позднее 27.06.2025,,04022025,060925304022025,16.07.2025,01.07.2025,31.07.2025,01.07.2025,09.07.2025,11.07.2025,"Налимова Наталья Александровна, т. 805, к. 437","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0609253,Ц,К,22-ЖКХ (субсидии),3 квартал 2025,не позднее 26.09.2025,,04032025,060925304032025,16.10.2025,01.10.2025,31.10.2025,01.10.2025,13.10.2025,15.10.2025,"Налимова Наталья Александровна, т. 805, к. 437","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0609253,Ц,К,22-ЖКХ (субсидии),4 квартал 2025,не позднее 26.12.2025,,04042025,060925304042025,16.01.2026,01.01.2026,06.02.2026,01.01.2026,13.01.2026,15.01.2026,"Налимова Наталья Александровна, т. 805, к. 437","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0609255,Ц,К,26-ЖКХ,1 квартал 2025,не позднее 28.03.2025,,04012025,060925504012025,17.04.2025,01.04.2025,30.04.2025,4/1/2025,14.04.2025,16.04.2025,"Гайфуллина Лариса Радиковна, т. 826, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609255,Ц,К,26-ЖКХ,2 квартал 2025,не позднее 27.06.2025,,04022025,060925504022025,17.07.2025,01.07.2025,31.07.2025,01.07.2025,14.07.2025,16.07.2025,"Гайфуллина Лариса Радиковна, т. 826, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609255,Ц,К,26-ЖКХ,3 квартал 2025,не позднее 26.09.2025,,04032025,060925504032025,17.10.2025,01.10.2025,31.10.2025,01.10.2025,14.10.2025,16.10.2025,"Гайфуллина Лариса Радиковна, т. 826, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609255,Ц,К,26-ЖКХ,4 квартал 2025,не позднее 26.12.2025,,04042025,060925504042025,19.01.2026,01.01.2026,06.02.2026,01.01.2026,16.01.2026,18.01.2026,"Гайфуллина Лариса Радиковна, т. 826, к. 435","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0609302,Ц,К,1-здрав,2024,#N/A,#N/A,01012024,060930201012024,10.04.2025,10.03.2025,30.04.2025,10.03.2025,07.04.2025,09.04.2025,"Симонова Ольга Олеговна, т. 452, к. 410","Усова Яна Сергеевна, т. 321, к. 307",
0609304,Ц,К,7-травматизм,2024,#N/A,#N/A,01012024,060930401012024,03.03.2025,20.02.2025,31.03.2025,20.02.2025,26.02.2025,28.02.2025,"Мугинова Елена Владимировна, т. 450, к. 410","Усова Яна Сергеевна, т. 321, к. 307",
0609400,Ц,ПВ,1-КСР,2024,не позднее 28.12.2024,"с 1-го января по 1-е февраля
после отчетного периода 
(в случае сезонного функционирования  – по его окончании)",01012024,060940001012024,03.02.2025,09.01.2025,21.02.2025,09.01.2025,29.01.2025,31.01.2025,"Болотова Марина Владимировна, т. 608, к. 509","Трушаева Наталья Ивановна, т. 320, к. 307",
0609407,Ц,К,1-КСР (основные индикаторы),январь 2025,не позднее 29.01.2025,,12012025,060940712012025,07.02.2025,31.01.2025,13.02.2025,31.01.2025,04.02.2025,06.02.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),февраль 2025,не позднее 21.02.2025,,12022025,060940712022025,07.03.2025,28.02.2025,13.03.2025,28.02.2025,04.03.2025,06.03.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),март 2025,не позднее 28.03.2025,,12032025,060940712032025,07.04.2025,31.03.2025,11.04.2025,3/31/2025,03.04.2025,04.04.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),апрель 2025,не позднее 29.04.2025,,12042025,060940712042025,07.05.2025,30.04.2025,19.05.2025,30.04.2025,05.05.2025,06.05.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),май 2025,не позднее 28.05.2025,,12052025,060940712052025,09.06.2025,30.05.2025,16.06.2025,30.05.2025,04.06.2025,06.06.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),июнь 2025,не позднее 27.06.2025,,12062025,060940712062025,07.07.2025,30.06.2025,11.07.2025,30.06.2025,02.07.2025,04.07.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),июль 2025,не позднее 29.07.2025,,12072025,060940712072025,07.08.2025,31.07.2025,13.08.2025,31.07.2025,04.08.2025,06.08.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),август 2025,не позднее 29.08.2025,,12082025,060940712082025,08.09.2025,01.09.2025,11.09.2025,01.09.2025,03.09.2025,05.09.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),сентябрь 2025,не позднее 26.09.2025,,12092025,060940712092025,07.10.2025,30.09.2025,13.10.2025,30.09.2025,01.10.2025,03.10.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),октябрь 2025,не позднее 29.10.2025,,12102025,060940712102025,07.11.2025,31.10.2025,14.11.2025,31.10.2025,30.10.2025,01.11.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),ноябрь 2025,не позднее 28.11.2025,,12112025,060940712112025,08.12.2025,01.12.2025,11.12.2025,01.12.2025,03.12.2025,05.12.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609407,Ц,К,1-КСР (основные индикаторы),декабрь 2025,не позднее 26.12.2025,,12122025,060940712122025,09.01.2026,09.01.2026,21.01.2026,09.01.2026,06.01.2026,08.01.2026,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0609506,Ц,ПВ,85-К,2024,не позднее 25.12.2024,с 9 по  24 января после отчетного периода,01012024,060950601012024,20.01.2025,26.12.2024,27.02.2025,26.12.2024,15.01.2025,17.01.2025,"Хромова Т.Ю., т. 371-04-60(доб.403), к. к.511","Трушаева Наталья Ивановна, т. 320, к. 307",
0609508,Ц,К,1-ОЛ, 2025,не позднее  22.08.2025,"с 29 июля 
по 8 сентября отчетного периода",01012025,060950801012025,08.09.2025,30.07.2025,30.09.2025,30.07.2025,03.09.2025,05.09.2025,"Порошина Дарья Алексеевна, т. 406, к. 513","Усова Яна Сергеевна, т. 321, к. 307",
0609565,Ц,ПВ,1-ДОД,2024,не позднее 27.12.2024,с 9 по 31 января после отчетного периода,01012024,060956501012024,31.01.2025,28.12.2024,26.02.2025,1/9/2025,28.01.2025,30.01.2025,"Панова К.В., т. 371-04-60(доб.416), 2-55, к. к.301","Трушаева Наталья Ивановна, т. 320, к. 307",
0609703,С,ПВ,1-услуги,2024 год,не позднее 28.12.2024,"с 1 февраля 
по 1 марта после отчетного периода",01012024,060970301012024,03.03.2025,03.02.2025,07.04.2025,03.02.2025,26.02.2025,28.02.2025,"Вигура Э.Ш., т. 601, к. 514","Рублёва Наталья Адольфовна, т. 322, к. 307",
0609706,Ц,К,1-турфирма,2024,не позднее 28.12.2024,"с 1-го февраля по 1-е апреля
после отчетного периода",01012024,060970601012024,02.04.2025,03.02.2025,06.05.2025,03.02.2025,31.03.2025,01.04.2025,"Базарова Инна Олеговна, т. 618, к. 527","Горячева Светлана Сергеевна, т. 303, к. 307",
0609707,С,К,П(услуги),январь 2025,не позднее 31.01.2025,,12012025,060970712012025,06.02.2025,03.02.2025,11.02.2025,03.02.2025,04.02.2025,05.02.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),февраль 2025,не позднее 28.02.2025,,12022025,060970712022025,06.03.2025,03.03.2025,11.03.2025,3/3/2025,04.03.2025,05.03.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),март 2025,не позднее 28.03.2025,,12032025,060970712032025,04.04.2025,31.03.2025,08.04.2025,31.03.2025,01.04.2025,03.04.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),апрель 2025,не позднее 30.04.2025,,12042025,060970712042025,12.05.2025,05.05.2025,14.05.2025,05.05.2025,05.05.2025,07.05.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),май 2025,не позднее 30.05.2025,,12052025,060970712052025,05.06.2025,02.06.2025,09.06.2025,02.06.2025,03.06.2025,04.06.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),июнь 2025,не позднее 30.06.2025,,12062025,060970712062025,04.07.2025,01.07.2025,08.07.2025,01.07.2025,01.07.2025,03.07.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),июль 2025,не позднее 30.07.2025,,12072025,060970712072025,06.08.2025,31.07.2025,11.08.2025,31.07.2025,30.07.2025,01.08.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),август 2025,не позднее 29.08.2025,,12082025,060970712082025,04.09.2025,01.09.2025,09.09.2025,01.09.2025,01.09.2025,03.09.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),сентябрь 2025,не позднее 30.09.2025,,12092025,060970712092025,06.10.2025,01.10.2025,08.10.2025,01.10.2025,01.10.2025,03.10.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),октябрь 2025,не позднее 30.10.2025,,12102025,060970712102025,07.11.2025,31.10.2025,12.11.2025,31.10.2025,30.10.2025,01.11.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),ноябрь 2025,не позднее 28.11.2025,,12112025,060970712112025,04.12.2025,01.12.2025,09.12.2025,01.12.2025,01.12.2025,03.12.2025,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609707,С,К,П(услуги),декабрь 2025,не позднее 29.12.2025,,12122025,060970712122025,14.01.2026,30.12.2025,19.01.2026,30.12.2025,11.01.2026,13.01.2026,"Вигура Эльвера Шакуровна, т. 601, к. 401","Пузакова Марина Владимировна, т. 315, к. 307",
0609708,Ц,К,№ 1-ДА(услуги),1 квартал 2025,не позднее 30.01.2025,,04012025,060970804012025,17.02.2025,31.01.2025,25.02.2025,2/4/2025,12.02.2025,14.02.2025,"Синюкова наталья Михайловна, т. 613, к. 527","Усова Яна Сергеевна, т. 321, к. 307",
0609708,Ц,К,№ 1-ДА(услуги),2 квартал 2025,не позднее 30.04.2025,,04022025,060970804022025,15.05.2025,30.04.2025,27.05.2025,30.04.2025,12.05.2025,14.05.2025,"Синюкова наталья Михайловна, т. 613, к. 527","Усова Яна Сергеевна, т. 321, к. 307",
0609708,Ц,К,№ 1-ДА(услуги),3 квартал 2025,не позднее 29.07.2025,,04032025,060970804032025,15.08.2025,30.07.2025,25.08.2025,30.07.2025,12.08.2025,14.08.2025,"Синюкова наталья Михайловна, т. 613, к. 527","Усова Яна Сергеевна, т. 321, к. 307",
0609708,Ц,К,№ 1-ДА(услуги),4 квартал 2025,не позднее 28.10.2025,,04042025,060970804042025,17.11.2025,29.10.2025,26.11.2025,29.10.2025,12.11.2025,14.11.2025,"Синюкова наталья Михайловна, т. 613, к. 527","Усова Яна Сергеевна, т. 321, к. 307",
0610001,Ц,ПВ,1-ИП,январь 2025,не позднее 30.01.2025,,12012025,061000112012025,14.02.2025,03.02.2025,19.02.2025,03.02.2025,11.02.2025,13.02.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,февраль 2025,не позднее 27.02.2025,,12022025,061000112022025,14.03.2025,03.03.2025,19.03.2025,03.03.2025,12.03.2025,13.03.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,март 2025,не позднее 28.03.2025,,12032025,061000112032025,14.04.2025,01.04.2025,17.04.2025,01.04.2025,10.04.2025,11.04.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,апрель 2025,не позднее 25.04.2025,,12042025,061000112042025,20.05.2025,05.05.2025,23.05.2025,05.05.2025,14.05.2025,16.05.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,май 2025,не позднее 29.05.2025 ,,12052025,061000112052025,17.06.2025,02.06.2025,20.06.2025,02.06.2025,09.06.2025,11.06.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,июнь 2025,не позднее 27.06.2025,,12062025,061000112062025,14.07.2025,01.07.2024,17.07.2025,01.07.2024,09.07.2025,11.07.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,июль 2025,не позднее 29.07.2025,,12072025,061000112072025,14.08.2025,01.08.2025,19.08.2025,01.08.2025,11.08.2025,13.08.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,август 2025,не позднее 29.08.2025,,12082025,061000112082025,12.09.2025,01.09.2025,17.09.2025,01.09.2025,09.09.2025,11.09.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,сентябрь 2025,не позднее 26.09.2025,,12092025,061000112092025,14.10.2025,01.10.2025,17.10.2025,01.10.2025,08.10.2025,10.10.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,октябрь 2025,не позднее 29.10.2025,,12102025,061000112102025,17.11.2025,01.11.2025,20.11.2025,01.11.2025,12.11.2025,14.11.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,ноябрь 2025,не позднее 28.11.2025,,12112025,061000112112025,12.12.2025,01.12.2025,17.12.2025,01.12.2025,09.12.2025,11.12.2025,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610001,Ц,ПВ,1-ИП,декабрь 2025,26.12.2025,,12122025,061000112122025,22.01.2026,09.01.2026,27.01.2026,09.01.2026,19.01.2026,21.01.2026,"Жигулева А.А, т. 509, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610009,Ц,ПВ,1-кооператив,2024,#N/A,#N/A,12012025,061000912012025,1/27/2025,09.01.2025,28.02.2025,09.01.2025,1/22/2025,1/24/2025,"Билалова Марина Геннадьевна, т. 507, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,январь 2025,не позднее 30.01.2025,,12012025,061001012012025,14.02.2025,03.02.2025,19.02.2025,03.02.2025,11.02.2025,13.02.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,февраль 2025,не позднее 27.02.2025,,12022025,061001012022025,14.03.2025,03.03.2025,19.03.2025,03.03.2025,11.03.2025,13.03.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,март 2025,не позднее 28.03.2025,,12032025,061001012032025,14.04.2025,01.04.2025,17.04.2025,01.04.2025,09.04.2025,11.04.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,апрель 2025,не позднее 25.04.2025,,12042025,061001012042025,20.05.2025,05.05.2025,23.05.2025,05.05.2025,14.05.2025,16.05.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,май 2025,не позднее 29.05.2025 ,,12052025,061001012052025,17.06.2025,02.06.2025,20.06.2025,02.06.2025,09.06.2025,11.06.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,июнь 2025,не позднее 27.06.2025,,12062025,061001012062025,14.07.2025,01.07.2024,17.07.2025,01.07.2024,09.07.2025,11.07.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
0610010,Ц,ПВ,ПМ-пром,июль 2025,не позднее 29.07.2025,,12072025,061001012072025,14.08.2025,01.08.2025,19.08.2025,01.08.2025,11.08.2025,13.08.2025,"Сушкова И.В., т. 525, к. 429","Трушаева Наталья Ивановна, т. 320, к. 307",
